time (s),Avg Current (A),Min Current (A),Max Current (A),Avg Power (W),Min Power (W),Max Power (W)
0.300300, 0.005056968829355355, 0.00550312269, 0.00384905958, 0.015170948904788225, 0.0164918117, 0.0115464972
0.300300, 0.0050574626095238415, 0.00549986679, 0.00379349478, 0.015173088972928876, 0.0164804365, 0.0113800596
0.300220, 0.005059024859153344, 0.00549145229, 0.00377538055, 0.015177800300472954, 0.016454827, 0.0113254469
0.300180, 0.005059260825440373, 0.00550044887, 0.00378735759, 0.015177893393091273, 0.0164809953, 0.0113619715
0.300180, 0.005059127599009994, 0.00550640095, 0.00385045307, 0.015176847334816789, 0.0165006388, 0.011549768
0.300240, 0.005058715792062213, 0.00550350174, 0.00377049251, 0.015176488149050822, 0.0164923258, 0.01131099
0.300160, 0.005059661396493437, 0.00551114511, 0.00384596153, 0.015178406392571123, 0.0165121593, 0.011534336
0.300120, 0.005059522030497768, 0.00551141566, 0.00385456113, 0.01517817066824815, 0.0165172108, 0.0115622887
0.300140, 0.005059259360478411, 0.00548342103, 0.00375571963, 0.015177424378651386, 0.0164326373, 0.0112680988
0.300240, 0.005057297630384334, 0.00548922922, 0.00376245216, 0.01517205572831546, 0.0164498948, 0.0112881316
